LON,LAT
-73.949005,40.726265000000005
-73.968513,40.577404
-73.957787,40.722038
-73.991791,40.67691
-73.909248,40.675484000000004
-73.992729,40.669556
-73.862289,40.767345
-74.003685,40.683037
-74.007439,40.748207
-73.982811,40.693042999999996
-73.99308,40.702358000000004
-73.944817,40.715934999999995
-73.963737,40.71048
-73.984367,40.668274
-73.872749,40.774547999999996
-73.984718,40.741959
-73.989296,40.732409999999994
-73.977577,40.684422
-73.98026999999999,40.660702
-73.94493100000001,40.664124
-73.973846,40.63451
-73.982079,40.768929
-73.990288,40.686668
-73.930458,40.675907
-73.950241,40.783936
-73.984024,40.667972999999996
-73.916229,40.689419
-73.824448,40.824799
-73.95659599999999,40.708755
-73.955963,40.7141
-73.97492199999999,40.679728999999995
-73.956787,40.718166
-73.974937,40.680690999999996
-73.963173,40.634422
-73.976456,40.682899
-73.964668,40.672112
-73.98526,40.678641999999996
-73.973076,40.759178000000006
